Bedroom,Bathroom,Property Size,Tenure Type,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,State,Property Age,Listed_Facility_Count,Has_Bus_Stop,Has_Mall,Has_Park,Has_School,Has_Hospital,Has_Highway,Has_Railway_Station,Is_Non_Bumi_Lot,Freehold Indicator,Floor_Range_Ordinal,Has_Barbeque_Area,Has_Club_House,Has_Gymnasium,Has_Jogging_Track,Has_Lift,Has_Minimart,Has_Multipurpose_Hall,Has_Parking,Has_Playground,Has_Sauna,Has_Security,Has_Squash_Court,Has_Swimming_Pool,Has_Tennis_Court,price
2,1,715.0,Freehold,,392.0,Apartment,1.0,Medium,Non Bumi Lot,Johor,,14,0,0,0,0,0,0,0,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,295000.00000000006
3,2,657.0,Leasehold,,,Flat,,Low,Bumi Lot,Selangor,,0,0,0,1,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142999.9999999999
3,2,887.0,Freehold,30.0,808.0,Condominium,2.0,High,Non Bumi Lot,Penang,10.0,10,0,0,0,0,0,0,0,1,1,3.0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,494999.9999999999
3,2,830.0,Leasehold,21.0,,Condominium,1.0,Medium,Non Bumi Lot,Selangor,19.0,5,0,0,0,0,0,0,0,1,0,2.0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,209998.99999999994
3,2,710.0,Leasehold,,,Flat,,High,Bumi Lot,Johor,,2,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,100000.00000000001
2,2,815.0,Leasehold,,,Condominium,2.0,High,Non Bumi Lot,Sarawak,,6,0,0,0,0,0,0,0,1,0,3.0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,575000.0
6,7,4177.0,Freehold,,551.0,Condominium,3.0,,Non Bumi Lot,Selangor,,0,0,1,0,0,1,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750000.0000000005
1,1,624.0,Freehold,,256.0,Service Residence,,Medium,Non Bumi Lot,Kuala Lumpur,15.0,0,1,1,1,1,1,0,1,1,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538000.0000000003
3,2,922.0,Freehold,14.0,,Apartment,1.0,High,Non Bumi Lot,Selangor,,8,0,0,0,0,0,0,0,1,1,3.0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,365000.00000000023
3,2,1226.0,Freehold,38.0,473.0,Condominium,2.0,,Non Bumi Lot,Penang,5.0,8,0,0,0,0,0,0,0,1,1,,0,0,1,0,0,1,0,1,1,1,1,1,1,0,740000.0000000003
3,2,926.0,Freehold,,,Service Residence,2.0,Low,Non Bumi Lot,Selangor,,9,0,0,0,0,0,0,0,1,1,1.0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,455999.99999999965
