Bedroom,Bathroom,Property Size,Tenure Type,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,State,Property Age,Listed_Facility_Count,Has_Bus_Stop,Has_Mall,Has_Park,Has_School,Has_Hospital,Has_Highway,Has_Railway_Station,Is_Non_Bumi_Lot,Freehold Indicator,Floor_Range_Ordinal,Has_Barbeque_Area,Has_Club_House,Has_Gymnasium,Has_Jogging_Track,Has_Lift,Has_Minimart,Has_Multipurpose_Hall,Has_Parking,Has_Playground,Has_Sauna,Has_Security,Has_Squash_Court,Has_Swimming_Pool,Has_Tennis_Court,price
3,2,850.0,Freehold,,536.0,Apartment,,,Bumi Lot,Selangor,,4,1,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0,1,1,0,1,0,0,0,285000
3,2,657.0,Freehold,,,Apartment,,Medium,Non Bumi Lot,Selangor,,0,0,0,0,0,0,0,0,1,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155000
3,2,850.0,Leasehold,5.0,,Apartment,1.0,Medium,Non Bumi Lot,Selangor,,14,1,1,1,1,0,0,0,1,0,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,248000
3,2,1300.0,Freehold,27.0,299.0,Condominium,1.0,Medium,Non Bumi Lot,Kuala Lumpur,29.0,14,1,1,1,1,1,1,0,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,708000
2,2,750.0,Freehold,,,Condominium,2.0,Medium,Non Bumi Lot,Johor,,3,0,0,0,0,0,0,0,1,1,2.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,350000
3,1,678.0,Freehold,,,Flat,,Low,Non Bumi Lot,Johor,,0,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188000
3,3,1515.0,Freehold,15.0,198.0,Condominium,1.0,High,Non Bumi Lot,Putrajaya,25.0,13,0,0,0,0,0,0,0,1,1,3.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,550000
3,2,753.0,Freehold,,,Apartment,,High,Non Bumi Lot,Selangor,,2,0,1,0,0,0,0,0,1,1,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,230000
2,1,550.0,Leasehold,,,Flat,,Low,Non Bumi Lot,Penang,,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185000
2,2,663.0,Freehold,20.0,720.0,Apartment,1.0,Medium,Non Bumi Lot,Johor,,14,0,0,0,0,0,0,0,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,249000
3,2,950.0,Freehold,,309.0,Apartment,1.0,,Non Bumi Lot,Selangor,,3,0,1,0,0,0,1,1,1,1,,0,0,0,0,1,0,0,1,0,0,1,0,0,0,220000
4,2,1467.0,Freehold,18.0,107.0,Condominium,2.0,Medium,Non Bumi Lot,Penang,8.0,6,0,0,0,0,0,0,0,1,1,2.0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,850000
3,2,856.0,Freehold,,808.0,Condominium,2.0,Medium,Non Bumi Lot,Penang,,5,0,0,0,0,0,0,0,1,1,2.0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,510000
3,1,603.0,Leasehold,,,Apartment,,High,Bumi Lot,Kuala Lumpur,,3,1,1,1,1,0,0,1,0,0,3.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,235000
3,2,700.0,Freehold,30.0,500.0,Apartment,1.0,High,Non Bumi Lot,Penang,11.0,8,0,0,0,0,0,0,0,1,1,3.0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,350000
3,2,728.0,Freehold,,,Condominium,,Medium,Non Bumi Lot,Negeri Sembilan,,4,0,0,0,0,0,0,0,1,1,2.0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,155000
3,2,943.0,Leasehold,8.0,,Apartment,,,Non Bumi Lot,Kuala Lumpur,,5,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,1,1,1,1,0,1,0,218000
3,2,700.0,Freehold,5.0,360.0,Condominium,1.0,,Non Bumi Lot,Penang,29.0,4,0,0,0,0,0,0,0,1,1,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,265000
2,1,600.0,Leasehold,,,Flat,,Medium,Bumi Lot,Selangor,,0,1,1,1,1,0,0,1,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000
2,1,550.0,Freehold,,,Condominium,2.0,High,Bumi Lot,Selangor,,14,0,0,0,0,0,0,0,0,1,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,198000
3,2,850.0,Freehold,15.0,,Condominium,1.0,Medium,Bumi Lot,Selangor,10.0,6,1,0,0,1,0,0,0,0,1,2.0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,300000
3,2,700.0,Leasehold,25.0,,Apartment,1.0,,Non Bumi Lot,Penang,,3,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,1,0,0,1,0,0,0,250000
3,2,1100.0,Freehold,25.0,1220.0,Condominium,2.0,Low,Non Bumi Lot,Kuala Lumpur,19.0,10,1,0,1,1,0,0,0,1,1,1.0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,400000
2,2,860.0,Leasehold,48.0,1332.0,Condominium,2.0,Medium,Non Bumi Lot,Kuala Lumpur,,9,0,0,0,0,0,0,0,1,0,2.0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,568000
2,2,780.0,Freehold,,,Apartment,2.0,High,Non Bumi Lot,Penang,,4,0,0,0,0,0,0,0,1,1,3.0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,240000
3,2,955.0,Leasehold,17.0,595.0,Apartment,1.0,Low,Non Bumi Lot,Kuala Lumpur,,5,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,265000
5,2,1164.0,Freehold,5.0,,Apartment,,Medium,Non Bumi Lot,Johor,,6,0,0,0,0,0,0,0,1,1,2.0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,295000
2,3,950.0,Freehold,25.0,452.0,Condominium,2.0,,Non Bumi Lot,Putrajaya,6.0,5,0,0,0,0,0,0,0,1,1,,0,0,1,0,1,0,0,1,1,0,0,0,1,0,410000
3,2,838.0,Leasehold,20.0,780.0,Apartment,,,Non Bumi Lot,Kuala Lumpur,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278000
3,2,1005.0,Leasehold,23.0,,Condominium,1.0,Low,Bumi Lot,Kuala Lumpur,,5,1,0,0,1,1,0,1,0,0,1.0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,360000
3,2,689.0,Freehold,,,Apartment,1.0,,Bumi Lot,Selangor,,5,1,0,1,1,0,1,0,0,1,,0,0,0,1,0,0,1,1,1,0,1,0,0,0,195000
4,2,918.0,Freehold,38.0,2647.0,Service Residence,2.0,High,Non Bumi Lot,Kuala Lumpur,4.0,11,0,0,0,0,0,0,0,1,1,3.0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,520000
3,2,1135.0,Leasehold,,,Condominium,2.0,,Non Bumi Lot,,,1,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,468000
3,2,650.0,Leasehold,5.0,90.0,Apartment,1.0,Low,Non Bumi Lot,Selangor,,3,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,160000
3,2,1000.0,Freehold,22.0,504.0,Condominium,1.0,Medium,Non Bumi Lot,Penang,29.0,0,0,0,0,0,0,0,0,1,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375000
1,1,655.0,Freehold,10.0,84.0,Condominium,1.0,Low,Non Bumi Lot,Selangor,9.0,14,0,0,0,0,0,0,0,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,299000
3,2,914.0,Freehold,,,Condominium,1.0,Medium,Non Bumi Lot,Sabah,,0,0,0,0,0,0,0,0,1,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537500
3,2,926.0,Leasehold,,684.0,Condominium,1.0,,Non Bumi Lot,Selangor,,9,0,0,0,1,0,0,1,1,0,,0,0,1,0,1,1,1,1,1,1,1,0,1,0,299999
5,4,2304.0,Freehold,30.0,808.0,Condominium,3.0,High,Non Bumi Lot,Penang,10.0,10,0,0,0,0,0,0,0,1,1,3.0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1680000
3,2,764.0,Leasehold,18.0,200.0,Apartment,,Medium,Bumi Lot,Selangor,17.0,5,1,0,1,1,0,0,1,0,0,2.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,260000
3,2,670.0,Leasehold,,,Apartment,,Medium,Non Bumi Lot,Selangor,,2,0,0,0,0,0,0,0,1,0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,165000
3,1,650.0,Freehold,12.0,216.0,Apartment,,,Non Bumi Lot,Kuala Lumpur,,3,1,0,1,1,0,0,0,1,1,,0,0,0,0,1,0,0,0,1,0,1,0,0,0,185000
3,1,667.0,Freehold,,,Apartment,,,Bumi Lot,Selangor,,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000
3,2,887.0,Freehold,30.0,808.0,Condominium,1.0,Medium,Non Bumi Lot,Penang,10.0,10,0,0,0,0,0,0,0,1,1,2.0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,450000
2,2,936.0,Freehold,38.0,420.0,Condominium,2.0,Medium,Non Bumi Lot,Penang,12.0,14,0,0,0,0,0,0,0,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,555000
3,1,721.0,Freehold,,,Apartment,,Medium,Bumi Lot,Negeri Sembilan,,4,0,0,0,0,0,0,0,0,1,2.0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,200000
3,2,736.0,Freehold,,596.0,Apartment,2.0,,Non Bumi Lot,Selangor,13.0,4,1,0,0,0,0,1,0,1,1,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,250000
3,2,1000.0,Freehold,,,Apartment,2.0,High,Non Bumi Lot,Penang,3.0,9,0,0,0,0,0,0,0,1,1,3.0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,530000
3,2,1100.0,Freehold,25.0,1220.0,Condominium,1.0,Low,Non Bumi Lot,Kuala Lumpur,19.0,10,1,0,1,1,0,0,0,1,1,1.0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,375000
3,2,950.0,Freehold,21.0,,Condominium,1.0,Medium,Non Bumi Lot,Penang,23.0,9,0,0,0,0,0,0,0,1,1,2.0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,380000
2,2,1268.0,Leasehold,,,Condominium,1.0,Low,Non Bumi Lot,Sabah,,11,0,0,0,0,0,0,0,1,0,1.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,598000
